pdf_id,archivo,titulo,notebook_A,notebook_B,notebook_C,notebook_D,codex_A,codex_B,codex_C,codex_D,codex_notas,gemini_A,gemini_B,gemini_C,gemini_D,gemini_notas,claude_A,claude_B,claude_C,claude_D,claude_notas,notebook_vs_codex_ABCD,notebook_vs_codex_D,notebook_vs_gemini_ABCD,notebook_vs_gemini_D,notebook_vs_claude_ABCD,notebook_vs_claude_D,D_consenso_4,D_mayoria
167,01762_Informática_y_Sistemas_2026.pdf,Aplicación de Design Thinking en el diseño de un entorno interactivo de Química con Realidad Aumentada,1,0,1,FF clasica,1,1,1,FF con reconocimiento,Muestreo por conveniencia con tamano reducido reconocido; inferencia y conclusion amplia sobre QuimAR en secundaria.,1,0,1,FF clasica,Muestreo no probabilístico por conveniencia (61 estudiantes) con inferencia estadística y extrapolación explícita a la educación secundaria sin advertir las limitaciones.,1,0,1,FF clasica,Muestra no probabilística de conveniencia (n=61). Conclusión generaliza a educación secundaria sin advertir límites inferenciales.,difiere,difiere,igual,igual,igual,igual,3_de_4,FF clasica
168,01764_Informática_y_Sistemas_2026.pdf,"Transformación Tecnológica del Patrimonio Festivo mediante Realidad Aumentada: el Pase del Niño Rey de Reyes de Riobamba, Ecuador",1,0,1,FF clasica,1,0,1,FF clasica,Muestreo intencional de docentes/estudiantes universitarios y evaluacion usada para validar una herramienta patrimonial de alcance amplio.,1,0,1,FF clasica,Muestreo intencional (no probabilístico) de estudiantes y docentes. Se extrapola la viabilidad y efectividad de la aplicación al patrimonio festivo de Riobamba sin advertir limitaciones de generalizac,1,0,0,No evaluable,"Estudio de validación/usabilidad de una aplicación tecnológica (TradiRey), no investigación epidemiológica/social con problema muestral inferencial clásico. La muestra intencional es apropiada para pr",igual,igual,igual,igual,difiere,difiere,3_de_4,FF clasica
169,01792_Revista_Científica_UISRAEL_2026.pdf,Crecimiento Creativo en Preescolares Peruanos a través del Modelado con Globos,1,1,1,FF con reconocimiento,1,0,1,FF clasica,Muestra intencional de preescolares y prueba Wilcoxon usada para recomendar la intervencion educativa.,1,0,1,FF clasica,"Muestreo intencional (no probabilístico) y se extrapolan los resultados a la población de preescolares de Chupaca, sin advertir las limitaciones de generalización.",1,0,1,FF clasica,Muestreo intencional (n=33) sin reconocer límites de generalización. Título y conclusiones extrapolan a 'preescolares peruanos' y 'programas de educación infantil' sin restricciones.,difiere,difiere,difiere,difiere,difiere,difiere,3_de_4,FF clasica
170,01794_Revista_Científica_UISRAEL_2026.pdf,Influencia del liderazgo educativo directivo sobre el clima social escolar: estudio comparativo entre una institución pública y una privada,1,0,1,FF clasica,1,1,0,Debilidad importante,Muestreo por conveniencia en dos instituciones; reconoce condicionamiento contextual y no obtiene relacion significativa fuerte.,1,0,1,FF clasica,"Muestreo no probabilístico por conveniencia en dos instituciones específicas, pero las conclusiones se extrapolan a políticas educativas y la realidad del país sin advertir explícitamente la limitació",1,1,1,FF con reconocimiento,"Muestreo no probabilístico por conveniencia explícitamente declarado (2 escuelas, 55 docentes). A pesar del reconocimiento metodológico, extrapola a 'políticas educativas' y 'competencias directivas' ",difiere,difiere,igual,igual,difiere,difiere,2_de_4,FF clasica
171,01799_Revista_Científica_UISRAEL_2025.pdf,La influencia de la comprensión lectora en la resolución de problemas matemáticos en los estudiantes de Educación General Básica,1,0,1,FF clasica,1,0,0,Debilidad importante,Censo/conveniencia de 36 estudiantes de una unidad; base local sin extrapolacion A&C fuerte.,1,0,1,FF clasica,Muestreo no probabilístico por conveniencia (36 estudiantes) y se extrapola la influencia de la comprensión lectora a la resolución de problemas matemáticos sin advertir limitaciones.,1,0,1,FF clasica,Muestreo por conveniencia (n=36) con generalización en título/conclusiones a EGB sin advertir limitaciones inferenciales. A & C sin B.,difiere,difiere,igual,igual,igual,igual,3_de_4,FF clasica
172,01800_Revista_Científica_UISRAEL_2025.pdf,La lectura guiada para el desarrollo de la comprensión lectora en los estudiantes de primaria,0,0,1,Sin falla relevante,0,0,1,Debilidad importante,No declara claramente base muestral; usa chi-cuadrado para sostener mejora en primaria; problema de reporte mas que A&C demostrada.,1,0,1,FF clasica,"El estudio usa una muestra no probabilística (40 docentes) y aplica inferencia estadística para generalizar conclusiones sobre la mejora de la comprensión lectora en estudiantes de primaria, sin adver",1,0,1,FF clasica,Encuesta a 40 docentes sin especificar método de selección (presumiblemente conveniencia). Extrapola a conclusiones generales sobre eficacia del método sin advertir limitaciones muestrales.,difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,FF clasica
173,01802_Universitas_2026.pdf,Desinformación e inteligencia artificial en el discurso político: uso de IA generativa en el Parlamento de Galicia (España),1,1,1,FF con reconocimiento,1,0,1,FF clasica,Baja respuesta a cuestionario parlamentario y muestra de iniciativas; concluye uso generalizado de IA en la camara.,1,0,1,FF clasica,Muestreo por conveniencia/voluntario (16% de respuesta de diputados) y se generaliza el uso de IA a todo el Parlamento de Galicia sin advertir esta limitación.,1,1,1,FF con reconocimiento,"Muestra de conveniencia 16% (autoseleccionada), extrapola a población como 'uso generalizado', reconoce ser exploratorio pero generaliza igual",difiere,difiere,difiere,difiere,igual,igual,2_de_4,FF con reconocimiento
174,01848_Puriq_2024.pdf,Burnout y estrés laboral en docentes de Instituciones de Educación Secundaria del distrito de Juliaca,1,0,1,FF clasica,0,0,0,Sin falla relevante,Muestra censal de docentes de cuatro instituciones; no hay muestreo no probabilistico inferencial A&C.,1,0,1,FF clasica,"Muestreo no probabilístico de instituciones, con extrapolación a docentes de instituciones públicas/privadas en general, sin advertir limitaciones de generalización.",1,0,1,FF clasica,"Delimitación intencional de 4 instituciones (no probabilístico) + generalización implícita a categorías públicas/privadas en conclusiones, sin sección de limitaciones que reconozca el diseño muestral ",difiere,difiere,igual,igual,igual,igual,3_de_4,FF clasica
175,01851_Revista_Amazónica_de_Ciencias_2026.pdf,"Articulación entre gestión pública y organizaciones sociales en el desarrollo comunitario: estudio de caso en Valencia, Ecuador",0,0,0,Sin falla relevante,0,0,0,Sin falla relevante,Muestreo probabilistico de beneficiarios con representatividad declarada; no hay falla A&C.,0,0,1,Debilidad importante,"El estudio generaliza resultados de una muestra probabilística de beneficiarios de una fundación a la población general del cantón, sin advertir esta limitación.",1,0,1,FF clasica,"Muestra 161 beneficiarios de fundación (58.5% de 275). Afirma muestreo probabilístico dentro de esos 275, pero objetivo es Valencia. Extrapola a 'cantón Valencia' y 'América Latina' sin reconocer que ",igual,igual,difiere,difiere,difiere,difiere,2_de_4,Sin falla relevante
176,01853_Revista_Amazónica_de_Ciencias_2026.pdf,Efectividad del marketing de contenidos en la percepción y promoción de servicios de salud en un contexto rural de Ecuador,0,1,0,Sin falla relevante,0,0,0,Sin falla relevante,Muestreo aleatorio simple de usuarios con representatividad declarada; no hay A&C.,0,1,0,Sin falla relevante,"El estudio usó muestreo aleatorio simple para una población finita definida y acotó explícitamente sus conclusiones al centro de salud estudiado, advirtiendo sobre la no generalización a otros context",0,1,1,Debilidad importante,Marco poblacional sesgado ('meses de mayor demanda' sin especificar). Muestreo aleatorio simple pero extrapola a contextos rurales generales en título/abstract. Limitaciones admitidas tardíamente.,difiere,igual,igual,igual,difiere,difiere,3_de_4,Sin falla relevante
177,01854_Revista_Amazónica_de_Ciencias_2026.pdf,Las 4C's del marketing y la preferencia del consumidor del sector de prendas de vestir en Tarapoto,1,0,1,FF clasica,1,0,1,FF clasica,Muestra intencional de consumidores y Spearman usado para validar relacion general entre 4C y preferencia del consumidor.,1,0,1,FF clasica,Muestreo no probabilístico intencional y extrapolación de resultados con inferencia estadística a la población de consumidores de Tarapoto sin advertir limitaciones.,1,0,1,FF clasica,"Muestreo intencional (n=243) de población de 47,533 habitantes. Extrapola resultados sin advertir limitaciones de validez inferencial del diseño no probabilístico.",igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
178,01855_Revista_Amazónica_de_Ciencias_2026.pdf,Planificación financiera y financiamiento externo: evidencia empírica en microempresas comerciales,0,0,1,Sin falla relevante,0,0,0,Sin falla relevante,Muestreo probabilistico de comerciantes; correlaciones con base representativa local.,1,1,0,Debilidad importante,"Muestreo probabilístico no especificado, sugiere voluntarios. Aunque las conclusiones se acotan al mercado, la base inferencial es débil por la falta de rigor en el muestreo.",0,1,0,Sin falla relevante,"Muestreo probabilístico de 132/201 comerciantes. Conclusiones acotadas al mercado de Cutervo. Debilidades en validación del instrumento y reporte metodológico, pero sin falla muestral crítica.",difiere,igual,difiere,difiere,difiere,igual,3_de_4,Sin falla relevante
179,01856_Revista_Amazónica_de_Ciencias_2026.pdf,Relación entre el presupuesto público y la calidad del gasto en el Gobierno Regional de San Martín,0,0,0,Sin falla relevante,0,0,0,Sin falla relevante,Muestreo aleatorio simple de trabajadores con representatividad declarada; no hay A&C.,0,0,0,Sin falla relevante,Muestreo probabilístico de una población finita y bien definida. Las conclusiones se limitan a la población estudiada sin extrapolación.,0,0,0,No evaluable,"Estudio administrativo-financiero sobre relación presupuestaria. Aunque usa muestreo probabilístico e inferencia estadística (n=82 de 152 trabajadores), el objeto no es una población objetivo humana o",igual,igual,igual,igual,difiere,difiere,3_de_4,Sin falla relevante
180,01857_Revista_Amazónica_de_Ciencias_2025.pdf,"Agroturismo sostenible impulsando el desarrollo local: Caso de estudio en Rancho Escondido, Cantón El Empalme",1,0,1,FF clasica,1,0,1,FF clasica,Encuesta a participantes sin procedimiento probabilistico claro y conclusiones sobre acogida/desarrollo agroturistico local.,1,0,1,FF clasica,Muestreo no probabilístico (Google Forms) con extrapolación explícita de resultados a la población del Cantón El Empalme sin advertir las limitaciones de generalización.,1,0,1,FF clasica,Encuesta de 382 participantes del Cantón El Empalme mediante Google Forms (auto-selección). Extrapolan porcentajes a población sin advertir limitaciones de representatividad muestral ni sesgos.,igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
181,01858_Revista_Amazónica_de_Ciencias_2025.pdf,"Influencia de las características arquitectónicas en la calidad del servicio de mercados de abastos: Caso Yurimaguas, Perú",0,0,0,Sin falla relevante,0,0,0,Sin falla relevante,Muestreo probabilistico aleatorio simple de usuarios del mercado; no hay A&C.,0,0,1,Debilidad importante,"El muestreo se declara probabilístico aleatorio simple, pero la falta de detalles sobre el marco muestral y el procedimiento de selección para usuarios de mercado sugiere una debilidad metodológica re",0,0,1,Debilidad importante,Tamaño muestral (138) inferior al esperado con parámetros declarados (~385). Procedimiento de muestreo vagamente descrito. Generaliza a otros mercados amazónicos sin advertencias de limitaciones.,igual,igual,difiere,difiere,difiere,difiere,2_de_4,Sin falla relevante
182,01859_Revista_Amazónica_de_Ciencias_2025.pdf,"Integración de los objetivos de desarrollo sostenible en emprendimientos turísticos de Manabí, Ecuador: prácticas locales desde una perspectiva territorial",0,0,1,Sin falla relevante,1,1,1,FF con reconocimiento,Muestra finita de emprendimientos sin seleccion probabilistica clara; generaliza a Manabi y pide extender para confirmar generalizacion.,1,0,1,FF clasica,Muestreo no probabilístico (no se describe selección aleatoria) y se extrapolan los hallazgos a los emprendimientos turísticos de Manabí sin advertir las limitaciones.,1,0,1,FF clasica,"Muestreo sin especificación de procedimiento aleatorio (conveniencia distribuida proporcionalmente), generaliza resultados a provincia sin advertir limitaciones inferenciales ni intervalos confianza.",difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,FF clasica
183,01860_Revista_Amazónica_de_Ciencias_2025.pdf,Marketing verde e imagen de marca: Caso de estudio en una empresa distribuidora de agua,0,0,0,Sin falla relevante,0,0,0,Sin falla relevante,Muestreo probabilistico aleatorio simple de clientes; no se configura A&C.,0,0,0,Sin falla relevante,"Muestreo probabilístico aleatorio simple de una población definida. La inferencia se acota a dicha población, sin extrapolación a una mayor.",0,1,0,Sin falla relevante,"Muestreo probabilístico aleatorio simple (n=258, población=781 clientes). Conclusiones acotadas a empresa específica. Limitaciones del caso de estudio único, no fallos muestrales.",igual,igual,igual,igual,difiere,igual,unanimidad,Sin falla relevante
184,01866_Revista_Científica_de_Sistemas_2025.pdf,Análisis de sentimientos en la red social X para la evaluación del posicionamiento de candidatos en elecciones políticas,1,1,1,FF con reconocimiento,0,0,0,Sin falla relevante,Analisis de corpus de publicaciones en X mediante KDD; no hay muestreo no probabilistico de unidades humanas encuestadas.,1,1,1,FF con reconocimiento,"Muestreo no probabilístico (posts de X/Twitter) y se extrapola a la popularidad entre los habitantes de México, aunque se reconocen sesgos y limitaciones para la predicción electoral.",0,0,0,No evaluable,"Análisis descriptivo de datos textuales sin inferencia estadística formal. No hay tests, IC ni modelos poblacionales. Universo: posts (datos), no población humana.",difiere,difiere,igual,igual,difiere,difiere,2_de_4,FF con reconocimiento
185,01929_Revista_Argentina_de_Reumatolo_2024.pdf,Orales,1,0,1,FF clasica,0,0,0,No evaluable,Compilacion de comunicaciones orales; no es articulo auditable autonomo.,1,0,1,FF clasica,Muestreo no probabilístico (registro de conveniencia) con extrapolación implícita a población mayor y sin advertencia explícita de las limitaciones.,1,0,1,FF clasica,Registro voluntario BIOBADASAR 3.0 con muestreo no probabilístico; extrapola estrategias terapéuticas a AR sin advertir limitación muestral.,difiere,difiere,igual,igual,igual,igual,3_de_4,FF clasica
186,01930_Revista_Argentina_de_Reumatolo_2024.pdf,Posters destacados,1,0,1,FF clasica,0,0,0,No evaluable,Compilacion de posters/resumenes; no es articulo auditable autonomo.,1,0,1,FF clasica,Muestreo de conveniencia de una cohorte clínica y se extrapola la prevalencia y la importancia de los hallazgos a una población mayor sin advertir explícitamente las limitaciones.,1,0,1,FF clasica,Cohorte multicéntrica por conveniencia. Extrapola prevalencia (35%) a 'equipos multidisciplinarios' sin advertir limitaciones de muestreo.,difiere,difiere,igual,igual,igual,igual,3_de_4,FF clasica
187,01956_Salud_Colectiva_2024.pdf,"Stigma in homelessness and health care: reflections from a Housing First program in Barcelona, Spain",1,1,1,FF con reconocimiento,0,0,0,Sin falla relevante,Estudio cualitativo con entrevistas; no busca inferencia estadistica poblacional A&C.,0,0,0,No evaluable,"Estudio cualitativo basado en entrevistas, no utiliza inferencia estadística para generalizar resultados a una población.",0,0,0,No evaluable,"Estudio cualitativo longitudinal con enfoque narrativo e interpretativo. No utiliza inferencia estadística. Objetivo: análisis de experiencias, no extrapolación paramétrica a población objetivo.",difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,No evaluable
188,01957_Salud_Colectiva_2023.pdf,Placing survival above the ideal of motherhood: experiences of migratory mourning of migrant mothers in Chile,1,0,1,FF clasica,0,0,0,Sin falla relevante,Estudio cualitativo exploratorio; no corresponde a inferencia estadistica poblacional A&C.,0,0,0,No evaluable,"El estudio es cualitativo y exploratorio, no utiliza inferencia estadística para generalizar a una población mayor.",0,0,0,No evaluable,"Estudio cualitativo exploratorio sin inferencia estadística. Análisis temático de entrevistas semiestructuradas, no muestreo inferencial.",difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,No evaluable
189,01961_ABCS_Health_Sciences_2026.pdf,Relationship between functional capacity and reduced lung function in adults with long Covid: Sulcovid-19 Survey,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,Encuesta/seguimiento con respuesta parcial; reconoce restriccion de generalizacion pero deriva implicancias de salud publica.,1,1,1,FF con reconocimiento,"Muestreo no probabilístico (conveniencia/voluntarios) y los autores explicitamente extrapolan los hallazgos a una población mayor, aunque reconocen la limitación de la generalización.",1,1,1,FF con reconocimiento,"Muestreo no probabilístico de casos (respuesta 47.7%), advierte limitación de tamaño muestral pero generaliza igual a población de long COVID.",igual,igual,igual,igual,igual,igual,unanimidad,FF con reconocimiento
190,01963_ABCS_Health_Sciences_2025.pdf,Analysis of Sleep Quality in Patients with Hereditary Angioedema,1,1,1,FF con reconocimiento,1,0,0,Debilidad importante,Muestra clinica pequena de pacientes con angioedema; asociaciones exploratorias acotadas a la muestra.,1,1,1,FF con reconocimiento,"Muestreo no probabilístico (conveniencia) y se extrapola a la población de pacientes con HAE en Brasil, aunque se reconoce la limitación del tamaño muestral.",1,1,1,FF con reconocimiento,"Muestreo de conveniencia (pacientes en consultas ambulatorias). Intenta caracterizar HAE (extrapolación implícita). Advierte limitaciones de tamaño y ausencia de control, pero no discute el impacto de",difiere,difiere,igual,igual,igual,igual,3_de_4,FF con reconocimiento
191,01966_ABCS_Health_Sciences_2025.pdf,Presence of symptoms after COVID-19 infection may explain the onset of female urinary incontinence: a cross-sectional study,1,0,1,FF clasica,1,1,1,FF con reconocimiento,Participantes reclutadas por redes sociales; reconoce limitaciones pero modela sintomas post-COVID como predictores de incontinencia.,1,0,1,FF clasica,Muestreo no probabilístico (redes sociales) y extrapolación explícita de los hallazgos a la población general de mujeres sobrevivientes de COVID-19 sin advertir esta limitación.,1,0,1,FF clasica,"Muestreo por conveniencia (redes sociales), sesgo de selección severo (solo mujeres con incontinencia nueva), extrapolación a sobrevivientes de COVID-19 sin advertencia sobre límites muestrales.",difiere,difiere,igual,igual,igual,igual,3_de_4,FF clasica
192,01967_ABCS_Health_Sciences_2025.pdf,Regular exercise in adolescents with ACE gene polymorphism helps preventing cardiovascular risk factors,1,0,1,FF clasica,1,0,1,FF clasica,Muestra clinica/adolescente no probabilistica con ANOVA y conclusion preventiva general sobre ejercicio y polimorfismo ACE.,1,0,1,FF clasica,Muestreo por conveniencia de adolescentes de una escuela y extrapolación explícita a la población general de adolescentes sin advertir esta limitación.,1,0,1,FF clasica,Muestreo de conveniencia (estudiantes invitados de escuela pública única). Generaliza a población 'adolescentes' e infiere odds ratios de riesgo cardiovascular sin calificar alcance muestral.,igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
193,01968_ABCS_Health_Sciences_2024.pdf,Estudo epidemiológico da Hepatite C em pessoas privadas de liberdade,0,1,1,Sin falla relevante,0,0,0,Sin falla relevante,Muestra aleatoria simple calculada para poblacion penitenciaria; generalizacion justificada por diseno probabilistico.,1,0,1,FF clasica,"Se calculó una muestra aleatoria simple, pero se usó muestreo voluntario (no probabilístico). A pesar de esto, se generalizan los resultados a la población y no se advierten claramente los límites de ",1,1,1,FF con reconocimiento,Afirma muestreo aleatorio simple pero implementó conveniencia/voluntarios ('invitaron... a participar'). Extrapola explícitamente ('could be generalized to population') reconociendo limitación pero ge,difiere,igual,difiere,difiere,difiere,difiere,2_de_4,Sin falla relevante
194,01972_Acta_Ortopédica_Brasileira_2025.pdf,EVALUATION OF ARTHROSCOPIC TREATMENT OF TRIANGULAR FIBROCARTILAGE,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,Serie retrospectiva pequena sin aleatorizacion; reconoce sesgos y aun sostiene efectividad del tratamiento artroscopico.,1,1,1,FF con reconocimiento,"Estudio de serie de casos con muestreo no probabilístico (conveniencia) que extrapola resultados a la población, aunque reconoce limitaciones como el tamaño de la muestra.",1,1,1,FF con reconocimiento,Muestreo intencional: 28 pacientes de un hospital (criterios de inclusión/exclusión). Extrapola al afirmar que la artroscopia 'mejora resultados clínicos' en general. Reconoce ser serie de casos sin r,igual,igual,igual,igual,igual,igual,unanimidad,FF con reconocimiento
195,01973_Acta_Ortopédica_Brasileira_2025.pdf,GENICULAR NERVE ABLATION IN KNEE OSTEOARTHRITIS: A RANDOMIZED PROSPECTIVE STUDY,1,1,1,FF con reconocimiento,0,1,0,Sin falla relevante,"Ensayo prospectivo randomizado; aunque reconoce baja generalizabilidad, no hay falla A&C de muestreo observacional.",1,1,1,FF con reconocimiento,"El estudio usa muestreo no probabilístico y extrapola a población mayor de pacientes con osteoartritis, pero reconoce explícitamente la limitación de la representatividad de la muestra.",1,1,1,FF con reconocimiento,Muestreo intencional (selección clínica de 35 pacientes con OA severa Grado IV); generaliza a 'pacientes con OA grave' sin restricción geográfica. Advierte tamaño pequeño (n=35) no representativo pero,difiere,difiere,igual,igual,igual,igual,3_de_4,FF con reconocimiento
196,01974_Acta_Ortopédica_Brasileira_2025.pdf,"SHOULDER PAIN, ULTRASOUND CHANGES, AND FUNCTIONAL PERFORMANCE IN OBESE PATIENTS",1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,Muestra clinica de obesos/control no pareada; reconoce limitaciones y generaliza diferencias funcionales en obesidad morbida.,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia de clínica y profesionales) y extrapolación explícita a la población general de obesos sin advertir esta limitación.,1,0,1,FF clasica,Muestreo de conveniencia (ambulatorio bariátrico + profesionales de salud). Extrapola a 'pacientes obesos mórbidos' sin advertir sesgos de selección ni representatividad.,igual,igual,difiere,difiere,difiere,difiere,2_de_4,FF con reconocimiento
197,01975_Acta_Ortopédica_Brasileira_2025.pdf,SURGICAL PROCEDURES PROLONG AMBULATION IN PATIENTS WITH DUCHENNE MUSCULAR DYSTROPHY,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,Cohorte retrospectiva de conveniencia; reconoce tamano pequeno y aun infiere beneficio quirurgico para DMD.,1,1,1,FF con reconocimiento,"El estudio usa muestreo de conveniencia y extrapola a la población general de DMD, aunque reconoce limitaciones de tamaño muestral y representatividad local.",1,1,1,FF con reconocimiento,"Cohorte retrospectiva de conveniencia (35 pacientes, institución única) que generaliza a 'pacientes con DMD' en conclusiones. Declara 'convenience sample' en métodos pero no enfatiza en limitaciones e",igual,igual,igual,igual,igual,igual,unanimidad,FF con reconocimiento
198,01978_Acta_Ortopédica_Brasileira_2024.pdf,EPIDEMIOLOGICAL PROFILE OF PATIENTS WITH TIBIA DIAPHYSIS FRACTURE TREATED AT A TERTIARY LEVEL HOSPITAL,1,0,1,FF clasica,1,0,1,FF clasica,Serie hospitalaria retrospectiva usada para describir perfil epidemiologico y riesgos de fracturas de tibia sin advertencia clara.,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia de un solo hospital) y extrapolación explícita a políticas de prevención de accidentes a nivel poblacional sin advertir limitaciones.,1,0,1,FF clasica,Serie consecutiva de hospital terciario (n=100) que extrapola a políticas nacionales de prevención sin advertir limitaciones de representatividad.,igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
199,01980_Acta_Ortopédica_Brasileira_2024.pdf,WHAT IS THE EPIDEMIOLOGICAL PROFILE OF ACUTE HAND INFECTIONS AT A HOSPITAL IN SAO PAULO?,1,1,1,FF con reconocimiento,1,1,0,Debilidad importante,Serie hospitalaria pequena con sesgos y perdida de seguimiento; conclusiones principalmente descriptivas del servicio.,1,1,0,Debilidad importante,Muestreo no probabilístico (consecutivo) en un solo hospital. Las conclusiones son descriptivas de la muestra y no extrapolan explícitamente a una población mayor.,1,1,0,Sin falla relevante,"Serie de casos consecutiva/censal de un hospital específico. Usa inferencia estadística, pero el objetivo es descriptivo de pacientes tratados en esa institución, no extrapola explícitamente. Reconoce",difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,Debilidad importante
200,01981_Acta_Paulista_de_Enfermagem_2026.pdf,Aleitamento na primeira hora de vida e via de parto entre primíparas,1,1,1,FF con reconocimiento,1,1,0,Debilidad importante,Muestra clinica homogenea de primiparas; reconoce limites de generalizacion y no identifica asociaciones en regresion.,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia en hospitales universitarios específicos) con inferencia estadística y extrapolación implícita a una población mayor sin advertir las limitaciones.,1,0,1,FF clasica,"Muestreo de conveniencia (2 hospitales, 5 meses) sin advertencia explícita sobre representatividad, pero reporta prevalencia (21,6%) y asociaciones como aplicables a primíparas.",difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,FF clasica
201,01984_Acta_Paulista_de_Enfermagem_2026.pdf,Gerência do cuidado de enfermagem no contexto pandêmico da COVID-19: estudo qualitativo,1,1,1,FF con reconocimiento,0,0,0,Sin falla relevante,Estudio cualitativo con enfermeros; no hay inferencia estadistica poblacional que active falla A&C.,0,0,0,No evaluable,Estudio cualitativo que no utiliza inferencia estadística para generalizar a una población mayor.,1,1,1,No evaluable,"Estudio cualitativo descriptivo. Muestreo intencional es estándar metodológico apropiado en investigación cualitativa, no constituye falla de inferencia estadística.",difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,No evaluable
202,01991_Arquivos_Brasileiros_de_Cardio_2026.pdf,Explorando as Correlações entre as Manifestações Clínicas e Radiológicas Iniciais na Arterite de Takayasu,1,1,1,FF con reconocimiento,1,0,1,FF clasica,Cohorte retrospectiva unicentrica de pacientes Takayasu; usa regresiones y proyecta indicador pronostico sin reconocimiento claro de generalizacion.,1,0,1,FF clasica,"Estudio unicéntrico con muestreo por conveniencia. Generaliza a la población de pacientes con Arterite de Takayasu, incluso afirmando una muestra 'representativa', sin reconocer la limitación.",1,0,1,FF clasica,"Coorte retrospectiva unicéntrica (conveniencia) con inferencia estadística (OR, IC 95%, regresión logística) que extrapola a población general de Takayasu sin advertir limitaciones del muestreo no pro",difiere,difiere,difiere,difiere,difiere,difiere,3_de_4,FF clasica
203,01993_Arquivos_Brasileiros_de_Cardio_2025.pdf,Análise de Sobrevida e Fatores Associados a Mortalidade em Portadores de Insuficiência Cardíaca na Coorte ELSA-Brasil,1,1,0,Debilidad importante,1,0,0,Debilidad importante,Submuestra de participantes con insuficiencia cardiaca dentro de ELSA-Brasil; conclusiones mayormente acotadas a la cohorte.,1,0,0,Debilidad importante,"Muestreo no probabilístico (cohorte de conveniencia de servidores públicos) que limita la generalizabilidad, sin advertencia explícita de esta limitación.",1,0,0,Debilidad importante,Cohorte ELSA-Brasil es muestra de conveniencia (servidores públicos de 6 instituciones). Muestreo no probabilístico pero conclusiones acotadas a la cohorte. No advierte explícitamente limitaciones.,difiere,igual,difiere,igual,difiere,igual,unanimidad,Debilidad importante
204,01994_Arquivos_Brasileiros_de_Cardio_2025.pdf,Aplicações Prognósticas dos Escores Clínicos Atuais em Insuficiência Cardíaca com Fração de Ejeção Preservada: Um Estudo de Coorte Prospectivo,1,1,1,FF con reconocimiento,1,0,1,FF clasica,Cohorte prospectiva hospitalaria pequena en HFpEF; propone puntaje pronostico con alcance clinico amplio sin advertencia visible.,1,0,1,FF clasica,"Muestreo no probabilístico (conveniencia en un hospital terciario) y extrapolación explícita de los hallazgos a la ""práctica clínica"" sin advertir las limitaciones de generalización.",1,0,1,FF clasica,Cohorte prospectiva con reclutamiento intencional de n=103 pacientes en hospital terciario específico. Conclusiones generalizan a 'práctica clínica' sin advertencia explícita sobre sesgos de selección,difiere,difiere,difiere,difiere,difiere,difiere,3_de_4,FF clasica
205,01995_Arquivos_Brasileiros_de_Cardio_2025.pdf,"O Twitter (X) como Ferramenta de Comunicação e Educação para Cardiologistas Brasileiros: Perfil, Influência e Desafios",1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,"Cuentas de cardiologos identificadas por autodescripcion en Twitter/X; reconoce corte temporal y cobertura limitada, pero concluye sobre cardiologos brasilenos.",1,1,1,FF con reconocimiento,"Muestreo no probabilístico (búsqueda por palabras clave en Twitter) y se extrapola a 'cardiologistas brasileiros' en general, aunque se reconocen limitaciones de cobertura.",0,1,0,No evaluable,"Estudio descriptivo observacional de redes sociales. Búsqueda exhaustiva de cuentas (1083) mediante FollowerWonk, no muestreo para inferencia. Conclusiones acotadas a 'cardiólogos brasileños con prese",igual,igual,igual,igual,difiere,difiere,3_de_4,FF con reconocimiento
